name,type,language
git,language,rubyPackages_3_3
gym,language,python311Packages
zig,system,
perl536,system,
pytorch-lightning,language,python312Packages
LWP,language,perl538Packages
perl,system,
sshtunnel,language,python311Packages
rustc,system,
sqlite3,language,rubyPackages_3_3
re2,language,rubyPackages_3_3
zulip,language,python312Packages
sslib,language,python311Packages
mathlibtools,language,python311Packages
onnxruntime,language,python311Packages
orange3,language,python311Packages
stringly,language,python311Packages
onnxruntime,language,python312Packages
anthropic,language,python312Packages
html-text,language,python312Packages
python312,system,
fastparquet,language,python312Packages
fastparquet,language,python311Packages
tensorflow,language,python311Packages
kornia,language,python312Packages
redis,language,rubyPackages
google-cloud-automl,language,python312Packages
nap,language,rubyPackages_3_2
openapi3,language,python311Packages
requests,language,python312Packages
datatable,language,python312Packages
jinja2,language,python311Packages
fifo,language,lua52Packages
castor,language,php82Packages
gensim,language,python312Packages
gnumake,system,
html-tag-names,language,python312Packages
nltk,language,python312Packages
jsonschema,language,python312Packages
wget,system,
opencv4,language,python311Packages
uuid4r,language,rubyPackages_3_2
scikit-learn,language,python312Packages
phpspy,language,php82Packages
duckdb,system,
StringApprox,language,perl538Packages
openaiauth,language,python312Packages
html-tag-names,language,python311Packages
ignite,language,python311Packages
luxio,language,lua52Packages
h5py,language,python312Packages
openpyxl,language,python311Packages
openllm,language,python311Packages
optuna,language,python312Packages
pytest-bdd,language,python311Packages
StringDiff,language,perl538Packages
json,language,rubyPackages_3_2
nltk,language,python311Packages
random2,language,python312Packages
cosmo,language,lua52Packages
curl,system,
fx,system,
ffi,language,rubyPackages_3_3
hsqldb,system,
dataproperty,language,python312Packages
phing,language,php81Packages
onnx,language,python312Packages
crystal_1_9,system,
MathFibonacci,language,perl538Packages
openllm,language,python312Packages
redis,language,rubyPackages_3_3
os,language,rubyPackages_3_2
os,language,rubyPackages_3_3
redis,language,rubyPackages_3_2
zulip,language,python311Packages
dart,system,
random2,language,python311Packages
valgrind-light,system,
re2,language,rubyPackages
tensorflow,language,python312Packages
luuid,language,lua52Packages
openpyxl,language,python312Packages
openapi-core,language,python311Packages
box,language,php81Packages
kornia,language,python311Packages
regex,language,python311Packages
sqlite,system,
hurl,system,
datatable,language,python311Packages
stringcase,language,python311Packages
grpcurl,system,
nodejs_18,system,
XMLLibXML,language,perl538Packages
uuid4r,language,rubyPackages_3_3
openapi3,language,python312Packages
requests,language,python311Packages
toml,language,lua52Packages
h5py,language,python311Packages
phpstan,language,php81Packages
go,system,
opencv4,language,python312Packages
httpie,system,
phpspy,language,php83Packages
git,language,rubyPackages
llama-index-embeddings-huggingface,language,python312Packages
lightgbm,language,python312Packages
tensordict,language,python312Packages
phan,language,php81Packages
lua5_4_compat,system,
os,language,rubyPackages
nap,language,rubyPackages_3_3
box,language,php83Packages
sqlalchemy,language,python311Packages
matplotlib,language,python311Packages
jax,language,python312Packages
nap,language,rubyPackages
beautifulsoup4,language,python311Packages
phan,language,php83Packages
gnat14,system,
botorch,language,python311Packages
llama-index-embeddings-huggingface,language,python311Packages
scipy,language,python311Packages
json,language,rubyPackages
numpy,language,python311Packages
jinja2,language,python312Packages
scikit-learn,language,python311Packages
nodejs_22,system,
accupy,language,python312Packages
onnx,language,python311Packages
openai,language,python311Packages
gfortran12,system,
beautifulsoup4,language,python312Packages
minichain,language,python311Packages
regex,language,python312Packages
tensorly,language,python312Packages
selenium,language,python312Packages
php81,system,
scipy,language,python312Packages
h2o,system,
phan,language,php82Packages
datauri,language,python312Packages
huggingface-hub,language,python311Packages
phing,language,php82Packages
castor,language,php81Packages
pytest,language,python311Packages
dataproperty,language,python311Packages
swift,system,
minichain,language,python312Packages
pytest,language,python312Packages
groovy,system,
ignite,language,python312Packages
langchain-core,language,python311Packages
gnat13,system,
langchain-core,language,python312Packages
StringFormatter,language,perl538Packages
selenium,language,python311Packages
castor,language,php83Packages
datauri,language,python311Packages
URI,language,perl538Packages
tqdm,language,python312Packages
spacy,language,python311Packages
cjson,language,lua52Packages
ruby_3_3,system,
tensorly,language,python311Packages
attrs,language,python312Packages
openapi-core,language,python312Packages
openllm-client,language,python311Packages
jax,language,python311Packages
xz,system,
julia,system,
jmespath,system,
openllm-client,language,python312Packages
git,language,rubyPackages_3_2
botorch,language,python312Packages
optuna,language,python311Packages
html5tagger,language,python312Packages
statsmodels,language,python311Packages
lightgbm,language,python311Packages
html5tagger,language,python311Packages
statsmodels,language,python312Packages
deno,system,
h2,system,
EmailValid,language,perl538Packages
nim,system,
python3,system,
composer,language,php81Packages
pydantic,language,python311Packages
html5lib,language,python311Packages
stringparser,language,python311Packages
pytorch-lightning,language,python311Packages
nodejs_20,system,
FileFinder,language,perl538Packages
huggingface-hub,language,python312Packages
MathInt64,language,perl538Packages
sqlite3,language,rubyPackages
nasm,system,
matplotlib,language,python312Packages
spacy,language,python312Packages
ffmpeg,system,
prophet,language,python311Packages
langsmith,language,python311Packages
sqlalchemy,language,python312Packages
gitpython,language,python311Packages
bash,system,
luazip,language,lua52Packages
sqlite,language,lua52Packages
tensordict,language,python311Packages
phpstan,language,php82Packages
cryptography,language,python312Packages
rocksdb,system,
stringbrewer,language,python312Packages
jq,system,
gnused,system,
MathBigInt,language,perl538Packages
crystal,system,
phing,language,php83Packages
mxnet,language,python312Packages
lua,system,
EmailReply,language,perl538Packages
git,system,
protobuf_26,system,
prophet,language,python312Packages
langsmith,language,python312Packages
Moo,language,perl538Packages
bzip2,system,
gitpython,language,python312Packages
lpeg,language,lua52Packages
valgrind,system,
lxml,language,python311Packages
go_1_21,system,
ruby,system,
box,language,php82Packages
StringTruncate,language,perl538Packages
say,language,lua52Packages
StringUtil,language,perl538Packages
StringRandom,language,perl538Packages
fastai,language,python312Packages
gfortran,system,
gnutar,system,
MathRandom,language,perl538Packages
ffi,language,rubyPackages
html5lib,language,python312Packages
phpspy,language,php81Packages
pydantic,language,python312Packages
mathlibtools,language,python312Packages
gym,language,python312Packages
google-cloud-automl,language,python311Packages
uri,language,rubyPackages_3_3
TestMoreUTF8,language,perl538Packages
json,language,rubyPackages_3_3
DBI,language,perl538Packages
ldbus,language,lua52Packages
yq,system,
composer,language,php82Packages
tqdm,language,python311Packages
sqlite3,language,rubyPackages_3_2
sshtunnel,language,python312Packages
pytest-bdd,language,python312Packages
bun,system,
go_1_23,system,
lxml,language,python312Packages
openai,language,python312Packages
StringSimilarity,language,perl538Packages
stringly,language,python312Packages
ffi,language,rubyPackages_3_2
gzip,system,
MathBaseConvert,language,perl538Packages
orange3,language,python312Packages
stringparser,language,python312Packages
gitdb,language,python311Packages
composer,language,php83Packages
uri,language,rubyPackages_3_2
anthropic,language,python311Packages
html-text,language,python311Packages
uri,language,rubyPackages
accupy,language,python311Packages
sslib,language,python312Packages
attrs,language,python311Packages
db62,system,
MathLibm,language,perl538Packages
torchio,language,python311Packages
EmailSender,language,perl538Packages
litellm,language,python312Packages
pymongo,language,python312Packages
re2,language,rubyPackages_3_2
gensim,language,python311Packages
php,system,
openaiauth,language,python311Packages
nim1,system,
cryptography,language,python311Packages
stringbrewer,language,python311Packages
DateTime,language,perl538Packages
numpy,language,python312Packages
ruby_3_2,system,
gitdb,language,python312Packages
jsonschema,language,python311Packages
fastai,language,python311Packages
newman,system,
curlie,system,
php83,system,
mxnet,language,python311Packages
stringcase,language,python312Packages
uuid4r,language,rubyPackages
torchio,language,python312Packages
StringEscape,language,perl538Packages
litellm,language,python311Packages
pymongo,language,python311Packages
phpstan,language,php83Packages
